INFO:     Started server process [10824]
INFO:     Waiting for application startup.
2026-05-06 02:41:46,601 | INFO | main | Автозапуск включен: каждые 24 часов, start_on_boot=False
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-05-06 14:24:27,411 | INFO | main | Ежедневная автоохота активирована ручным запуском
2026-05-06 14:24:27,646 | INFO | main | Pipeline стартовал. Источник: manual. Ключи: автоматизация продаж, продажи в директ, нейросети для бизнеса, чат боты для бизнеса, воронка продаж, CRM для бизнеса, нейропродавец, ИИ для бизнеса, автоматизация бизнеса, автоворонка продаж, amocrm, онлайн школа, запуск онлайн школы, инстаграм продажи, лиды из инстаграм, ИИ ассистент, AI эксперт, бизнес процессы, отдел продаж, скрипты продаж, обработка заявок, клиентский сервис, директ менеджер
2026-05-06 14:24:27,647 | INFO | services.apify_client | \U0001f680 Запускаю Apify актор: apify/instagram-scraper
2026-05-06 14:24:28,848 | INFO | services.apify_client | \u23f3 Apify run XJ283gfMKgzrxktNs: статус RUNNING
2026-05-06 14:24:49,559 | INFO | services.apify_client | \u23f3 Apify run XJ283gfMKgzrxktNs: статус SUCCEEDED
2026-05-06 14:24:49,899 | INFO | services.apify_client | \U0001f4e6 Получил 1 записей из Apify dataset
2026-05-06 14:24:49,900 | INFO | services.competitor_service | Добавил донора из SEED_DONORS: @artemiy.miller
2026-05-06 14:24:49,902 | INFO | services.apify_client | \U0001f680 Запускаю Apify актор: apify/instagram-scraper
2026-05-06 14:24:50,440 | INFO | services.apify_client | \u23f3 Apify run WHPgR2SU0etG4wCKc: статус RUNNING
2026-05-06 14:25:11,651 | INFO | services.apify_client | \u23f3 Apify run WHPgR2SU0etG4wCKc: статус SUCCEEDED
2026-05-06 14:25:12,022 | INFO | services.apify_client | \U0001f4e6 Получил 1 записей из Apify dataset
2026-05-06 14:25:12,024 | INFO | services.competitor_service | Добавил донора из SEED_DONORS: @kossolapov_igor
2026-05-06 14:25:12,025 | INFO | services.apify_client | \U0001f680 Запускаю Apify актор: apify/instagram-scraper
2026-05-06 14:25:12,636 | INFO | services.apify_client | \u23f3 Apify run lDC7fRZYsSt8ZKcLl: статус RUNNING
2026-05-06 14:25:33,854 | INFO | services.apify_client | \u23f3 Apify run lDC7fRZYsSt8ZKcLl: статус SUCCEEDED
2026-05-06 14:25:34,205 | INFO | services.apify_client | \U0001f4e6 Получил 1 записей из Apify dataset
2026-05-06 14:25:34,206 | INFO | services.competitor_service | Добавил донора из SEED_DONORS: @raspakui_ai
2026-05-06 14:25:34,207 | INFO | main | Найдено доноров: 3
2026-05-06 14:25:34,207 | INFO | services.scraper_service | Собираю последние посты донора @artemiy.miller
2026-05-06 14:25:34,208 | INFO | services.apify_client | \U0001f680 Запускаю Apify актор: apify/instagram-scraper
